num episodio,learning constant,discount factor,exploration factor,acumulated reward
174,0.5,0.95,0.95,-22.237150597317623
175,0.5,0.95,0.95,-22.029201845705625
176,0.5,0.95,0.95,-23.210576474979387
177,0.5,0.95,0.95,-23.335856535476744
178,0.5,0.95,0.95,-19.84965054955637
179,0.5,0.95,0.95,-20.217397097832315
180,0.5,0.95,0.95,-21.16357834920864
181,0.5,0.95,0.95,-21.074960834429966
182,0.5,0.95,0.95,-19.68995933008852
183,0.5,0.95,0.95,-18.682918276731524
184,0.5,0.95,0.95,-23.009120577515432
185,0.5,0.95,0.95,-17.466247275901452
186,0.5,0.95,0.95,-19.13125582105408
187,0.5,0.95,0.95,-17.345224082456703
188,0.5,0.95,0.95,-16.648017117519185
189,0.5,0.95,0.95,-22.679537200804262
190,0.5,0.95,0.95,-24.4988771935714
191,0.5,0.95,0.95,-19.48861379732289
192,0.5,0.95,0.95,-18.724342075809684
193,0.5,0.95,0.95,-18.7254688418883
194,0.5,0.95,0.95,-17.147734140485248
195,0.5,0.95,0.95,-16.69906689149836
196,0.5,0.95,0.95,-21.06515463720654
197,0.5,0.95,0.95,-15.83303197962736
198,0.5,0.95,0.95,-23.469623983848717
199,0.5,0.95,0.95,0.05808782063161275
200,0.5,0.95,0.95,-21.210857562949187
201,0.5,0.95,0.85,-21.843452338163395
202,0.5,0.95,0.85,-18.737477367153097
203,0.5,0.95,0.85,-19.92383444689338
204,0.5,0.95,0.85,-19.53785591833469
205,0.5,0.95,0.85,-17.92611767504009
206,0.5,0.95,0.85,-21.844622930856417
207,0.5,0.95,0.85,-20.264363735962597
208,0.5,0.95,0.85,-22.04279395807424
209,0.5,0.95,0.85,-22.0350848451006
210,0.5,0.95,0.85,-19.461927911263313
211,0.5,0.95,0.85,-20.749296019694903
212,0.5,0.95,0.85,-18.825371541718603
213,0.5,0.95,0.85,-21.741363667611893
214,0.5,0.95,0.85,-18.7637065143606
215,0.5,0.95,0.85,-21.378893222636307
216,0.5,0.95,0.85,-18.807322588664938
217,0.5,0.95,0.85,-18.815683330922454
218,0.5,0.95,0.85,-16.89626293119111
219,0.5,0.95,0.85,-15.266613476467729
220,0.5,0.95,0.85,-18.286574877281836
221,0.5,0.95,0.85,-18.659874396281925
222,0.5,0.95,0.85,-23.356154023579606
223,0.5,0.95,0.85,-19.45377940233288
224,0.5,0.95,0.85,-20.675158264228635
225,0.5,0.95,0.85,-19.504751040960215
226,0.5,0.95,0.85,-18.895885813159985
227,0.5,0.95,0.85,-18.491191441939115
228,0.5,0.95,0.85,-21.74997354716494
229,0.5,0.95,0.85,-17.91562814450686
230,0.5,0.95,0.85,-19.70500697462219
231,0.5,0.95,0.85,-19.610237950311973
232,0.5,0.95,0.85,-21.19281775346793
233,0.5,0.95,0.85,-18.955829785384996
234,0.5,0.95,0.85,-23.403815291648247
235,0.5,0.95,0.85,-19.492124126317666
236,0.5,0.95,0.85,-23.037779753844273
237,0.5,0.95,0.85,-18.44552762307861
238,0.5,0.95,0.85,-19.69784827958343
239,0.5,0.95,0.85,-19.376892204507552
240,0.5,0.95,0.85,-21.9163212676493
241,0.5,0.95,0.85,-12.852400552649009
242,0.5,0.95,0.85,-20.431285100410314
243,0.5,0.95,0.85,-19.294062004842438
244,0.5,0.95,0.85,-21.32318977043504
245,0.5,0.95,0.85,-18.35256808870398
246,0.5,0.95,0.85,-19.259004218229396
247,0.5,0.95,0.85,-27.76753368303819
248,0.5,0.95,0.85,-19.060109815165767
249,0.5,0.95,0.85,-19.156058336869016
250,0.5,0.95,0.85,-18.992934107703892
251,0.5,0.95,0.85,-23.585243474056547
252,0.5,0.95,0.85,-20.695533681379224
253,0.5,0.95,0.85,-23.135719469204133
254,0.5,0.95,0.85,-22.290713386677908
255,0.5,0.95,0.85,-23.051314784561377
256,0.5,0.95,0.85,-17.452994818194533
257,0.5,0.95,0.85,-20.218967357501427
258,0.5,0.95,0.85,-19.803144271468234
259,0.5,0.95,0.85,-19.47353910200623
260,0.5,0.95,0.85,-19.030394521866977
261,0.5,0.95,0.85,-18.756958517283095
262,0.5,0.95,0.85,-16.42277059312783
263,0.5,0.95,0.85,-18.775866201701128
264,0.5,0.95,0.85,-18.560871128943003
265,0.5,0.95,0.85,-19.138134387173565
266,0.5,0.95,0.85,-13.867949979194059
267,0.5,0.95,0.85,-19.085376331246707
268,0.5,0.95,0.85,-18.094009346370125
269,0.5,0.95,0.85,-12.732721068382808
270,0.5,0.95,0.85,-22.333833762586213
271,0.5,0.95,0.85,-19.435815089154705
272,0.5,0.95,0.85,-20.50115847131896
273,0.5,0.95,0.85,-20.325795369482286
274,0.5,0.95,0.85,-19.25093432692655
275,0.5,0.95,0.85,-19.784625109308426
276,0.5,0.95,0.85,-19.286806812241128
277,0.5,0.95,0.85,-21.62464342067172
278,0.5,0.95,0.85,-17.64862251122453
279,0.5,0.95,0.85,-16.370152445160677
280,0.5,0.95,0.85,-18.99819893088795
281,0.5,0.95,0.85,-20.87058466111142
282,0.5,0.95,0.85,-17.0127028270079
283,0.5,0.95,0.85,-21.657335060103026
284,0.5,0.95,0.85,-18.413934607479387
285,0.5,0.95,0.85,-19.691970322503824
286,0.5,0.95,0.85,-21.35569612879977
287,0.5,0.95,0.85,-19.67702934208119
288,0.5,0.95,0.85,-18.334522200993344
289,0.5,0.95,0.85,-18.63331083767829
290,0.5,0.95,0.85,-17.83842252207686
291,0.5,0.95,0.85,-19.094729990331427
292,0.5,0.95,0.85,-20.05042399448254
293,0.5,0.95,0.85,-19.77793088007214
294,0.5,0.95,0.85,-16.938023993375513
295,0.5,0.95,0.85,-20.776018949936187
296,0.5,0.95,0.85,-21.42603816466418
297,0.5,0.95,0.85,-22.636573482254192
298,0.5,0.95,0.85,-19.362070832263942
299,0.5,0.95,0.85,-18.06726487878884
300,0.5,0.95,0.85,-19.635627836780415
301,0.5,0.95,0.85,-20.05089858391534
302,0.5,0.95,0.85,-19.988714837989818
303,0.5,0.95,0.85,-19.05732446441622
304,0.5,0.95,0.85,-24.41881242374603
305,0.5,0.95,0.85,-19.15635444953516
306,0.5,0.95,0.85,-23.952363234935266
307,0.5,0.95,0.85,-16.712220767645903
308,0.5,0.95,0.85,-21.726816884113273
309,0.5,0.95,0.85,-22.76961870313764
310,0.5,0.95,0.85,-21.12041396010782
311,0.5,0.95,0.85,-19.478979162993305
312,0.5,0.95,0.85,-22.273823518112017
313,0.5,0.95,0.85,-19.705321534433075
314,0.5,0.95,0.85,-21.235971025461296
315,0.5,0.95,0.85,-20.452511387087572
316,0.5,0.95,0.85,-13.109510402206041
317,0.5,0.95,0.85,-17.489675584114124
318,0.5,0.95,0.85,-22.73785325558302
319,0.5,0.95,0.85,-17.12581694302272
320,0.5,0.95,0.85,-19.75429897463235
321,0.5,0.95,0.85,-17.655643561166297
322,0.5,0.95,0.85,-19.211630549526465
323,0.5,0.95,0.85,-17.375217577171263
324,0.5,0.95,0.85,-25.6052098332146
325,0.5,0.95,0.85,-19.68745036556132
326,0.5,0.95,0.85,-19.656157852856893
327,0.5,0.95,0.85,-22.217126772013202
328,0.5,0.95,0.85,-19.489647952420913
329,0.5,0.95,0.85,-17.097485640230207
330,0.5,0.95,0.85,-19.18599344791552
331,0.5,0.95,0.85,-17.843260282577223
332,0.5,0.95,0.85,-21.691959240936285
333,0.5,0.95,0.85,-24.152363302225876
334,0.5,0.95,0.85,-18.413580226220322
335,0.5,0.95,0.85,-21.20396637146052
336,0.5,0.95,0.85,-22.49758591941545
337,0.5,0.95,0.85,-19.55927801445477
338,0.5,0.95,0.85,-18.72933205687235
339,0.5,0.95,0.85,-21.391604590245304
340,0.5,0.95,0.85,-20.80119250588029
341,0.5,0.95,0.85,-20.315002309473094
342,0.5,0.95,0.85,-16.069525327165188
343,0.5,0.95,0.85,-16.31748931951687
344,0.5,0.95,0.85,-17.793990835895027
345,0.5,0.95,0.85,-18.77409207615319
346,0.5,0.95,0.85,-19.29420278570963
347,0.5,0.95,0.85,-22.74650158250558
348,0.5,0.95,0.85,-19.61796307933264
349,0.5,0.95,0.85,-21.981841415936668
350,0.5,0.95,0.85,-20.206373364814738
351,0.5,0.95,0.85,-16.959896878428385
352,0.5,0.95,0.85,-20.935311581508664
353,0.5,0.95,0.85,-20.137791665945773
354,0.5,0.95,0.85,-20.79060921953034
355,0.5,0.95,0.85,-19.037615553261766
356,0.5,0.95,0.85,-22.02276389696559
357,0.5,0.95,0.85,-19.183779008831074
358,0.5,0.95,0.85,-20.771629266191173
359,0.5,0.95,0.85,-16.524242238088316
360,0.5,0.95,0.85,-18.537155945899105
361,0.5,0.95,0.85,-21.009635665957987
362,0.5,0.95,0.85,-18.568229507054102
363,0.5,0.95,0.85,-19.722103736058735
364,0.5,0.95,0.85,-21.61182800585752
365,0.5,0.95,0.85,-20.2416901736979
366,0.5,0.95,0.85,-19.733130288549173
367,0.5,0.95,0.85,-19.055420104683495
368,0.5,0.95,0.85,-19.563605051302883
369,0.5,0.95,0.85,-19.447478441576912
370,0.5,0.95,0.85,-19.608513571720508
371,0.5,0.95,0.85,-19.261052588466853
372,0.5,0.95,0.85,-19.817656757169757
373,0.5,0.95,0.85,-15.383701924555728
374,0.5,0.95,0.85,-18.060262444289112
375,0.5,0.95,0.85,-19.551435118420102
376,0.5,0.95,0.85,-18.714119669725473
377,0.5,0.95,0.85,-16.518689391569108
378,0.5,0.95,0.85,-19.32270009452607
379,0.5,0.95,0.85,-19.72883403406486
380,0.5,0.95,0.85,-19.568858279571778
381,0.5,0.95,0.85,-19.522331307551656
382,0.5,0.95,0.85,-18.142350559786006
383,0.5,0.95,0.85,-16.150557054819657
384,0.5,0.95,0.85,-17.810550270519027
385,0.5,0.95,0.85,-13.226120789787245
386,0.5,0.95,0.85,-19.385058220917816
387,0.5,0.95,0.85,-18.932178120952372
388,0.5,0.95,0.85,-22.653668465039196
389,0.5,0.95,0.85,-19.05636877449674
390,0.5,0.95,0.85,-14.981925441792368
391,0.5,0.95,0.85,-17.24060905678459
392,0.5,0.95,0.85,-19.714233454118723
393,0.5,0.95,0.85,-22.13357746486293
394,0.5,0.95,0.85,-18.878029208393567
395,0.5,0.95,0.85,-22.58074387842803
396,0.5,0.95,0.85,-22.418490271247034
397,0.5,0.95,0.85,-19.377976206693706
398,0.5,0.95,0.85,-17.77087129183635
399,0.5,0.95,0.85,-18.799543785055175
400,0.5,0.95,0.85,-17.50552192896849
401,0.5,0.95,0.85,-18.076847711656274
402,0.5,0.95,0.75,-17.563039330574707
403,0.5,0.95,0.75,-20.528020525741677
404,0.5,0.95,0.75,-23.2774315991456
405,0.5,0.95,0.75,-19.635547958485333
406,0.5,0.95,0.75,-17.248563751569137
407,0.5,0.95,0.75,-19.374253005221515
408,0.5,0.95,0.75,-15.309500270163895
409,0.5,0.95,0.75,-19.278289559157347
410,0.5,0.95,0.75,-16.9462785839029
411,0.5,0.95,0.75,-23.038113960723983
412,0.5,0.95,0.75,-16.74365700593936
413,0.5,0.95,0.75,-22.126483421660467
414,0.5,0.95,0.75,-17.772564492036484
415,0.5,0.95,0.75,-19.599579899891577
416,0.5,0.95,0.75,-18.395149975868886
417,0.5,0.95,0.75,-21.672433351838457
